Identification code,Last name,First name,Age,sex,class,First name G1,First name G2,First name G3,Last name G1,Last name G2,Last name G3,Address : City G1,Address : City G2,"Address : Street, number, residence, building G1","Address : Street, number, residence, building G2",Address : Zip code G1,Address : Zip code G2,Email G1,Email G2,Home phone number G1,Home phone number G2,Home phone number G3,Mobile phone number G1,Mobile phone number G2,Mobile phone number G3,s2h_time,h2s_time
2315S5404,Kid_lastname_100,Kid_name_100,5,F,K-3,firstname_dad_100,firstname_mom_100,firstname_sitter_100,lastname_dad_100,lastname_mom_100,lastname_sitter_100,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_100,mom_email_100,+66,+66,,+66 81 999 9999_dad100,+66 081 888 8888_mom100,+66 081 777 7777_sitter100,,
2339S5397,Kid_lastname_1000,Kid_name_1000,17,F,S-6,firstname_dad_1000,firstname_mom_1000,firstname_sitter_1000,lastname_dad_1000,lastname_mom_1000,lastname_sitter_1000,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1000,mom_email_1000,+66,+66,,+66 81 999 9999_dad1000,+66 081 888 8888_mom1000,+66 081 777 7777_sitter1000,,
2339S5398,Kid_lastname_1001,Kid_name_1001,17,F,S-6,firstname_dad_1001,firstname_mom_1001,firstname_sitter_1001,lastname_dad_1001,lastname_mom_1001,lastname_sitter_1001,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1001,mom_email_1001,+66,+66,,+66 81 999 9999_dad1001,+66 081 888 8888_mom1001,+66 081 777 7777_sitter1001,,
14368,Kid_lastname_1002,Kid_name_1002,17,M,S-6,firstname_dad_1002,firstname_mom_1002,firstname_sitter_1002,lastname_dad_1002,lastname_mom_1002,lastname_sitter_1002,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1002,mom_email_1002,+66,+66,,+66 81 999 9999_dad1002,+66 081 888 8888_mom1002,+66 081 777 7777_sitter1002,,
13385,Kid_lastname_1003,Kid_name_1003,17,M,S-6,firstname_dad_1003,firstname_mom_1003,firstname_sitter_1003,lastname_dad_1003,lastname_mom_1003,lastname_sitter_1003,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1003,mom_email_1003,+66,+66,,+66 81 999 9999_dad1003,+66 081 888 8888_mom1003,+66 081 777 7777_sitter1003,,
13997,Kid_lastname_1004,Kid_name_1004,17,M,S-6,firstname_dad_1004,firstname_mom_1004,firstname_sitter_1004,lastname_dad_1004,lastname_mom_1004,lastname_sitter_1004,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1004,mom_email_1004,+66,+66,,+66 81 999 9999_dad1004,+66 081 888 8888_mom1004,+66 081 777 7777_sitter1004,,
2593S5929,Kid_lastname_1005,Kid_name_1005,17,F,S-6,firstname_dad_1005,firstname_mom_1005,firstname_sitter_1005,lastname_dad_1005,lastname_mom_1005,lastname_sitter_1005,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1005,mom_email_1005,+66,+66,,+66 81 999 9999_dad1005,+66 081 888 8888_mom1005,+66 081 777 7777_sitter1005,,
2155S5436,Kid_lastname_1006,Kid_name_1006,17,F,S-6,firstname_dad_1006,firstname_mom_1006,firstname_sitter_1006,lastname_dad_1006,lastname_mom_1006,lastname_sitter_1006,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1006,mom_email_1006,+66,+66,,+66 81 999 9999_dad1006,+66 081 888 8888_mom1006,+66 081 777 7777_sitter1006,,
2155S5087,Kid_lastname_1007,Kid_name_1007,17,F,S-6,firstname_dad_1007,firstname_mom_1007,firstname_sitter_1007,lastname_dad_1007,lastname_mom_1007,lastname_sitter_1007,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1007,mom_email_1007,+66,+66,,+66 81 999 9999_dad1007,+66 081 888 8888_mom1007,+66 081 777 7777_sitter1007,,
2501S5719,Kid_lastname_1008,Kid_name_1008,17,F,S-6,firstname_dad_1008,firstname_mom_1008,firstname_sitter_1008,lastname_dad_1008,lastname_mom_1008,lastname_sitter_1008,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1008,mom_email_1008,+66,+66,,+66 81 999 9999_dad1008,+66 081 888 8888_mom1008,+66 081 777 7777_sitter1008,,
2730S6189,Kid_lastname_1009,Kid_name_1009,17,F,S-6,firstname_dad_1009,firstname_mom_1009,firstname_sitter_1009,lastname_dad_1009,lastname_mom_1009,lastname_sitter_1009,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1009,mom_email_1009,+66,+66,,+66 81 999 9999_dad1009,+66 081 888 8888_mom1009,+66 081 777 7777_sitter1009,,
2271S5164,Kid_lastname_101,Kid_name_101,5,F,K-3,firstname_dad_101,firstname_mom_101,firstname_sitter_101,lastname_dad_101,lastname_mom_101,lastname_sitter_101,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_101,mom_email_101,+66,+66,,+66 81 999 9999_dad101,+66 081 888 8888_mom101,+66 081 777 7777_sitter101,,
2257S5123,Kid_lastname_1010,Kid_name_1010,17,F,S-6,firstname_dad_1010,firstname_mom_1010,firstname_sitter_1010,lastname_dad_1010,lastname_mom_1010,lastname_sitter_1010,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1010,mom_email_1010,+66,+66,,+66 81 999 9999_dad1010,+66 081 888 8888_mom1010,+66 081 777 7777_sitter1010,,
2257S5823,Kid_lastname_1011,Kid_name_1011,17,F,S-6,firstname_dad_1011,firstname_mom_1011,firstname_sitter_1011,lastname_dad_1011,lastname_mom_1011,lastname_sitter_1011,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1011,mom_email_1011,+66,+66,,+66 81 999 9999_dad1011,+66 081 888 8888_mom1011,+66 081 777 7777_sitter1011,,
2257S5124,Kid_lastname_1012,Kid_name_1012,17,F,S-6,firstname_dad_1012,firstname_mom_1012,firstname_sitter_1012,lastname_dad_1012,lastname_mom_1012,lastname_sitter_1012,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1012,mom_email_1012,+66,+66,,+66 81 999 9999_dad1012,+66 081 888 8888_mom1012,+66 081 777 7777_sitter1012,,
939S3453,Kid_lastname_1013,Kid_name_1013,18,F,S-6,firstname_dad_1013,firstname_mom_1013,firstname_sitter_1013,lastname_dad_1013,lastname_mom_1013,lastname_sitter_1013,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1013,mom_email_1013,+66,+66,,+66 81 999 9999_dad1013,+66 081 888 8888_mom1013,+66 081 777 7777_sitter1013,,
12889,Kid_lastname_1014,Kid_name_1014,18,M,S-6,firstname_dad_1014,firstname_mom_1014,firstname_sitter_1014,lastname_dad_1014,lastname_mom_1014,lastname_sitter_1014,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1014,mom_email_1014,+66,+66,,+66 81 999 9999_dad1014,+66 081 888 8888_mom1014,+66 081 777 7777_sitter1014,,
1939S4645,Kid_lastname_1015,Kid_name_1015,18,F,S-6,firstname_dad_1015,firstname_mom_1015,firstname_sitter_1015,lastname_dad_1015,lastname_mom_1015,lastname_sitter_1015,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1015,mom_email_1015,+66,+66,,+66 81 999 9999_dad1015,+66 081 888 8888_mom1015,+66 081 777 7777_sitter1015,,
14450,Kid_lastname_1016,Kid_name_1016,18,M,S-6,firstname_dad_1016,firstname_mom_1016,firstname_sitter_1016,lastname_dad_1016,lastname_mom_1016,lastname_sitter_1016,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1016,mom_email_1016,+66,+66,,+66 81 999 9999_dad1016,+66 081 888 8888_mom1016,+66 081 777 7777_sitter1016,,
14449,Kid_lastname_1017,Kid_name_1017,18,M,S-6,firstname_dad_1017,firstname_mom_1017,firstname_sitter_1017,lastname_dad_1017,lastname_mom_1017,lastname_sitter_1017,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1017,mom_email_1017,+66,+66,,+66 81 999 9999_dad1017,+66 081 888 8888_mom1017,+66 081 777 7777_sitter1017,,
2359S5403,Kid_lastname_1018,Kid_name_1018,18,F,S-6,firstname_dad_1018,firstname_mom_1018,firstname_sitter_1018,lastname_dad_1018,lastname_mom_1018,lastname_sitter_1018,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1018,mom_email_1018,+66,+66,,+66 81 999 9999_dad1018,+66 081 888 8888_mom1018,+66 081 777 7777_sitter1018,,
14664,Kid_lastname_1019,Kid_name_1019,18,F,S-6,firstname_dad_1019,firstname_mom_1019,firstname_sitter_1019,lastname_dad_1019,lastname_mom_1019,lastname_sitter_1019,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1019,mom_email_1019,+66,+66,,+66 81 999 9999_dad1019,+66 081 888 8888_mom1019,+66 081 777 7777_sitter1019,,
14559,Kid_lastname_102,Kid_name_102,5,F,K-3,firstname_dad_102,firstname_mom_102,firstname_sitter_102,lastname_dad_102,lastname_mom_102,lastname_sitter_102,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_102,mom_email_102,+66,+66,,+66 81 999 9999_dad102,+66 081 888 8888_mom102,+66 081 777 7777_sitter102,,
14665,Kid_lastname_1020,Kid_name_1020,18,F,S-6,firstname_dad_1020,firstname_mom_1020,firstname_sitter_1020,lastname_dad_1020,lastname_mom_1020,lastname_sitter_1020,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1020,mom_email_1020,+66,+66,,+66 81 999 9999_dad1020,+66 081 888 8888_mom1020,+66 081 777 7777_sitter1020,,
14411,Kid_lastname_1021,Kid_name_1021,18,M,S-6,firstname_dad_1021,firstname_mom_1021,firstname_sitter_1021,lastname_dad_1021,lastname_mom_1021,lastname_sitter_1021,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1021,mom_email_1021,+66,+66,,+66 81 999 9999_dad1021,+66 081 888 8888_mom1021,+66 081 777 7777_sitter1021,,
14135,Kid_lastname_1022,Kid_name_1022,18,M,S-6,firstname_dad_1022,firstname_mom_1022,firstname_sitter_1022,lastname_dad_1022,lastname_mom_1022,lastname_sitter_1022,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1022,mom_email_1022,+66,+66,,+66 81 999 9999_dad1022,+66 081 888 8888_mom1022,+66 081 777 7777_sitter1022,,
13781,Kid_lastname_1023,Kid_name_1023,18,M,S-6,firstname_dad_1023,firstname_mom_1023,firstname_sitter_1023,lastname_dad_1023,lastname_mom_1023,lastname_sitter_1023,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1023,mom_email_1023,+66,+66,,+66 81 999 9999_dad1023,+66 081 888 8888_mom1023,+66 081 777 7777_sitter1023,,
13999,Kid_lastname_1024,Kid_name_1024,18,M,S-6,firstname_dad_1024,firstname_mom_1024,firstname_sitter_1024,lastname_dad_1024,lastname_mom_1024,lastname_sitter_1024,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1024,mom_email_1024,+66,+66,,+66 81 999 9999_dad1024,+66 081 888 8888_mom1024,+66 081 777 7777_sitter1024,,
12192,Kid_lastname_1025,Kid_name_1025,18,M,S-6,firstname_dad_1025,firstname_mom_1025,firstname_sitter_1025,lastname_dad_1025,lastname_mom_1025,lastname_sitter_1025,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1025,mom_email_1025,+66,+66,,+66 81 999 9999_dad1025,+66 081 888 8888_mom1025,+66 081 777 7777_sitter1025,,
VA008STU01,Kid_lastname_1026,Kid_name_1026,18,F,S-6,firstname_dad_1026,firstname_mom_1026,firstname_sitter_1026,lastname_dad_1026,lastname_mom_1026,lastname_sitter_1026,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1026,mom_email_1026,+66,+66,,+66 81 999 9999_dad1026,+66 081 888 8888_mom1026,+66 081 777 7777_sitter1026,,
13871,Kid_lastname_1027,Kid_name_1027,18,M,S-6,firstname_dad_1027,firstname_mom_1027,firstname_sitter_1027,lastname_dad_1027,lastname_mom_1027,lastname_sitter_1027,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1027,mom_email_1027,+66,+66,,+66 81 999 9999_dad1027,+66 081 888 8888_mom1027,+66 081 777 7777_sitter1027,,
14473,Kid_lastname_1028,Kid_name_1028,18,M,S-6,firstname_dad_1028,firstname_mom_1028,firstname_sitter_1028,lastname_dad_1028,lastname_mom_1028,lastname_sitter_1028,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1028,mom_email_1028,+66,+66,,+66 81 999 9999_dad1028,+66 081 888 8888_mom1028,+66 081 777 7777_sitter1028,,
1505S4158,Kid_lastname_1029,Kid_name_1029,18,F,S-6,firstname_dad_1029,firstname_mom_1029,firstname_sitter_1029,lastname_dad_1029,lastname_mom_1029,lastname_sitter_1029,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1029,mom_email_1029,+66,+66,,+66 81 999 9999_dad1029,+66 081 888 8888_mom1029,+66 081 777 7777_sitter1029,,
14190,Kid_lastname_103,Kid_name_103,5,M,K-3,firstname_dad_103,firstname_mom_103,firstname_sitter_103,lastname_dad_103,lastname_mom_103,lastname_sitter_103,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_103,mom_email_103,+66,+66,,+66 81 999 9999_dad103,+66 081 888 8888_mom103,+66 081 777 7777_sitter103,,
1505S4157,Kid_lastname_1030,Kid_name_1030,18,F,S-6,firstname_dad_1030,firstname_mom_1030,firstname_sitter_1030,lastname_dad_1030,lastname_mom_1030,lastname_sitter_1030,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1030,mom_email_1030,+66,+66,,+66 81 999 9999_dad1030,+66 081 888 8888_mom1030,+66 081 777 7777_sitter1030,,
1505S4159,Kid_lastname_1031,Kid_name_1031,18,F,S-6,firstname_dad_1031,firstname_mom_1031,firstname_sitter_1031,lastname_dad_1031,lastname_mom_1031,lastname_sitter_1031,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1031,mom_email_1031,+66,+66,,+66 81 999 9999_dad1031,+66 081 888 8888_mom1031,+66 081 777 7777_sitter1031,,
2273S5158,Kid_lastname_1032,Kid_name_1032,18,F,S-6,firstname_dad_1032,firstname_mom_1032,firstname_sitter_1032,lastname_dad_1032,lastname_mom_1032,lastname_sitter_1032,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1032,mom_email_1032,+66,+66,,+66 81 999 9999_dad1032,+66 081 888 8888_mom1032,+66 081 777 7777_sitter1032,,
13874,Kid_lastname_1033,Kid_name_1033,18,M,S-6,firstname_dad_1033,firstname_mom_1033,firstname_sitter_1033,lastname_dad_1033,lastname_mom_1033,lastname_sitter_1033,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1033,mom_email_1033,+66,+66,,+66 81 999 9999_dad1033,+66 081 888 8888_mom1033,+66 081 777 7777_sitter1033,,
13875,Kid_lastname_1034,Kid_name_1034,18,M,S-6,firstname_dad_1034,firstname_mom_1034,firstname_sitter_1034,lastname_dad_1034,lastname_mom_1034,lastname_sitter_1034,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1034,mom_email_1034,+66,+66,,+66 81 999 9999_dad1034,+66 081 888 8888_mom1034,+66 081 777 7777_sitter1034,,
14761,Kid_lastname_1035,Kid_name_1035,18,F,S-1035,firstname_dad_1035,firstname_mom_1035,firstname_sitter_1035,lastname_dad_1035,lastname_mom_1035,lastname_sitter_1035,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_1035,mom_email_1035,+66,+66,,+66 81 999 9999_dad1035,+66 081 888 8888_mom1035,+66 081 777 7777_sitter1035,,
13419,Kid_lastname_104,Kid_name_104,5,M,K-3,firstname_dad_104,firstname_mom_104,firstname_sitter_104,lastname_dad_104,lastname_mom_104,lastname_sitter_104,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_104,mom_email_104,+66,+66,,+66 81 999 9999_dad104,+66 081 888 8888_mom104,+66 081 777 7777_sitter104,,
11639,Kid_lastname_105,Kid_name_105,5,M,K-3,firstname_dad_105,firstname_mom_105,firstname_sitter_105,lastname_dad_105,lastname_mom_105,lastname_sitter_105,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_105,mom_email_105,+66,+66,,+66 81 999 9999_dad105,+66 081 888 8888_mom105,+66 081 777 7777_sitter105,,
14011,Kid_lastname_106,Kid_name_106,5,M,K-3,firstname_dad_106,firstname_mom_106,firstname_sitter_106,lastname_dad_106,lastname_mom_106,lastname_sitter_106,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_106,mom_email_106,+66,+66,,+66 81 999 9999_dad106,+66 081 888 8888_mom106,+66 081 777 7777_sitter106,,
12277,Kid_lastname_107,Kid_name_107,5,M,K-3,firstname_dad_107,firstname_mom_107,firstname_sitter_107,lastname_dad_107,lastname_mom_107,lastname_sitter_107,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_107,mom_email_107,+66,+66,,+66 81 999 9999_dad107,+66 081 888 8888_mom107,+66 081 777 7777_sitter107,,
2506S5729,Kid_lastname_108,Kid_name_108,5,F,K-3,firstname_dad_108,firstname_mom_108,firstname_sitter_108,lastname_dad_108,lastname_mom_108,lastname_sitter_108,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_108,mom_email_108,+66,+66,,+66 81 999 9999_dad108,+66 081 888 8888_mom108,+66 081 777 7777_sitter108,,
